esq1,esq2,esq3,centro,dir3,dir2,dir1,label
0,0,0,0.10643614828587,0,0,0,0
0,0,0,0.10643614828587,0,0,0,0
0,0,0,0.10643614828587,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643617063761,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643629729748,0,0,0,0
0,0,0,0.10643629729748,0,0,0,0
0,0,0,0.10643623024225,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623024225,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623769283,0,0,0,0
0,0,0,0.10643623024225,0,0,0,0
0,0,0,0.1064362898469,0,0,0,0
0,0,0,0.10643630474806,0,0,0,0
0,0,0,0.1064363270998,0,0,0,0
0,0,0,0.10643631219864,0,0,0,0
0,0,0,0.1064363270998,0,0,0,0
0,0,0,0.1064363270998,0,0,0,0
0,0,0,0.10643631219864,0,0,0,0
0,0,0,0.1064363270998,0,0,0,0
0,0,0,0.10643631219864,0,0,0,0
0,0,0,0.10643631219864,0,0,0,0
0,0,0,0.1064363270998,0,0,0,0
0,0,0,0.10643631219864,0,0,0,0
0,0,0,0.10643637925386,0,0,0,0
0,0,0,0.10643637925386,0,0,0,0
0,0,0,0.10643637180328,0,0,0,0
0,0,0,0.10643640160561,0,0,0,0
0,0,0,0.10643641650677,0,0,0,0
0,0,0,0.10643640160561,0,0,0,0
0,0,0,0.10643634945154,0,0,0,0
0,0,0,0.10643641650677,0,0,0,0
0,0,0,0.10643642395735,0,0,0,0
0,0,0,0.10643644630909,0,0,0,0
0,0,0,0.10643644630909,0,0,0,0
0,0,0,0.10643646866083,0,0,0,0
0,0,0,0.10643650591373,0,0,0,0
0,0,0,0.10643646866083,0,0,0,0
0,0,0,0.10643645375967,0,0,0,0
0,0,0,0.10643646866083,0,0,0,0
0,0,0,0.10643646866083,0,0,0,0
0,0,0,0.10643645375967,0,0,0,0
0,0,0,0.10643645375967,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.1064365208149,0,0,0,0
0,0,0,0.10643652826548,0,0,0,0
